type,title
Movie,Don't Look Under the Bed
Movie,Donald's Golf Game
Movie,Donald's Tire Trouble
Movie,Double Teamed
Movie,Doug's 1st Movie
TV Show,"Dr. T, Lone Star Vet"
Movie,DuckTales The Movie: Treasure of the Lost Lamp
Movie,Dug's Special Mission
Movie,Dumbo
Movie,Early to Bed
Movie,Earth Live
Movie,Easter Island Unsolved
Movie,Eddie's Million Dollar Cook-off
Movie,Eight Below
TV Show,Elena of Avalor (Shorts)
Movie,Emil and the Detectives
Movie,Empire of Dreams: The Story of the Star Wars Trilogy
TV Show,Encore!
Movie,Escape to Witch Mountain
TV Show,Even Stevens
Movie,Expedition Mars: Spirit & Opportunity
Movie,Fantasia
Movie,Fantasia 2000
TV Show,Fantastic Four (Series)
TV Show,Fantastic Four: World's Greatest Heroes
Movie,Ferdinand the Bull
Movie,Finding Dory
Movie,Finding Nemo
Movie,First Kid
Movie,Flight of the Navigator
Movie,Float
Movie,Flowers and Trees
Movie,Flubber
Movie,Food for Feudin'
Movie,For the Birds
Movie,Forky Asks a Question: What is Money?
Movie,Frank and Ollie
Movie,Frankenweenie (Short)
Movie,Freaky Friday
Movie,Free Solo
Movie,Frenemies
Movie,Frozen
Movie,Full-Court Miracle
Movie,Fun and Fancy Free
Movie,Fuzzbucket
TV Show,Gargoyles
Movie,Geek Charming
Movie,Genius
Movie,George & A.J.
Movie,Geri's Game
Movie,Get a Clue
Movie,Giants of the Deep Blue
TV Show,Girl Meets World
Movie,Go Figure
Movie,Going to the Mat
TV Show,Good Luck Charlie
Movie,"Good Luck Charlie, It's Christmas!"
TV Show,Goof Troop
Movie,Gotta Kick it Up
Movie,Grand Canyonscope
Movie,Grasshopper and the Ants
TV Show,Great Migrations
Movie,Greyfriars Bobby
Movie,Gus
Movie,Halloweentown
Movie,Halloweentown High
Movie,Halloweentown II: Kalabar's Revenge
TV Show,Handy Manny
TV Show,Hannah Montana
Movie,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert
Movie,Hannah Montana The Movie
Movie,Hatching Pete
Movie,Hawaiian Holiday
Movie,Heavyweights
Movie,Herbie Goes Bananas
Movie,Herbie Goes to Monte Carlo
Movie,Herbie Rides Again
Movie,Hercules
Movie,High School Musical
Movie,High School Musical 2
Movie,High School Musical 3: Senior Year
TV Show,High School Musical: The Musical: The Series
Movie,Hocus Pocus
Movie,Home on the Range
Movie,"Honey, I Blew Up the Kid"
Movie,"Honey, I Shrunk the Kids"
Movie,"Honey, We Shrunk Ourselves"
Movie,Horse Sense
TV Show,Hostile Planet
Movie,Hounded
Movie,How Dogs Got Their Shapes
Movie,How to Build a Better Boy
Movie,How to Fish
Movie,How to Swim
TV Show,Hulk and the Agents of S.M.A.S.H.
Movie,I'll Be Home for Christmas
Movie,Ice Age: The Great Egg-Scapade
Movie,Ice Princess
Movie,Inner Workings
Movie,Inside Out
Movie,Inspector Gadget
Movie,Inspector Gadget 2
Movie,Into the Grand Canyon
Movie,Into the Okavango
Movie,Invincible
Movie,Invisible Sister
TV Show,Iron Man (Series)
TV Show,Iron Man Armored Adventures
Movie,Iron Will
Movie,Jack
Movie,Jack-Jack Attack
Movie,James and the Giant Peach
Movie,Jane
TV Show,Jessie
Movie,Jingle Pols
Movie,Johnny Kapahala: Back on Board
Movie,Johnny Tsunami
Movie,Jonas Brothers: The Concert Experience
Movie,Journey to Shark Eden
Movie,Journey to the Center of the Earth
Movie,Jump In!
Movie,Jumping Ship
Movie,Jungle 2 Jungle
Movie,Jungle Cat
Movie,Kazaam
TV Show,Kickin' It
Movie,Kim Possible
Movie,Kim Possible Movie: So the Drama
Movie,Kingdom of the Apes: Battle Lines
Movie,Kingdom of the Blue Whale
TV Show,Kingdom of the White Wolf
Movie,Kitbull
Movie,Knick Knack Theatrical Short
Movie,Kronk's New Groove
Movie,La Luna
TV Show,Lab Rats
Movie,Lady and the Tramp
Movie,Lava
TV Show,LEGO Disney Frozen: Northern Lights (Shorts)
TV Show,LEGO Star Wars: All Stars
TV Show,LEGO Star Wars: All Stars (Shorts)
TV Show,LEGO Star Wars: Droid Tales
TV Show,LEGO Star Wars: Resistance Rises (Shorts)
TV Show,LEGO Star Wars: The Freemaker Adventures
TV Show,LEGO Star Wars: The Freemaker Adventures (Shorts)
Movie,LEGO Star Wars: The New Yoda Chronicles - Clash of the Skywalkers
Movie,LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant
Movie,LEGO Star Wars: The New Yoda Chronicles – Duel of the Skywalkers
Movie,LEGO Star Wars: The New Yoda Chronicles – Escape from the Jedi Temple
Movie,LEGO Star Wars: The New Yoda Chronicles – Race for the Holocrons
Movie,Lemonade Mouth
Movie,Lend a Paw
Movie,Leroy & Stitch
Movie,Let it Shine
Movie,Life is Ruff
Movie,Life With Mikey
Movie,Life-Size 2
Movie,Lifted
Movie,Lilo & Stitch
Movie,Lilo & Stitch 2: Stitch Has a Glitch
TV Show,Lizzie McGuire
Movie,Lonesome Ghosts
TV Show,Lost Treasures of the Maya
Movie,Lou
Movie,Luck of the Irish
Movie,Luxo Jr.
Movie,Magician Mickey
Movie,Mail Dog
Movie,Man Among Cheetahs
Movie,Mars: Inside SpaceX
TV Show,Marvel Comics X-Men
TV Show,Marvel Rising: Initiation (Shorts)
Movie,Marvel Rising: Secret Warriors
Movie,Marvel Studios: Assembling A Universe
Movie,Marvel Studios: Expanding the Universe
Movie,Marvel Studios' Ant-Man
Movie,Marvel Studios' Avengers: Age of Ultron
Movie,Marvel Studios' Avengers: Endgame
Movie,Marvel Studios' Captain America: Civil War
Movie,Marvel Studios' Captain America: The First Avenger
Movie,Marvel Studios' Captain America: The Winter Soldier
Movie,Marvel Studios' Captain Marvel
Movie,Marvel Studios' Doctor Strange
Movie,Marvel Studios' Guardians of the Galaxy
Movie,Marvel Studios' Guardians of the Galaxy Vol. 2
Movie,Marvel Studios' Iron Man
Movie,Marvel Studios' Iron Man 2
Movie,Marvel Studios' Iron Man 3
Movie,Marvel Studios' The Avengers
Movie,Marvel Studios' Thor
Movie,Marvel Studios' Thor: The Dark World
TV Show,Marvel Ultimate Spider-Man
TV Show,Marvel's Agent Carter
TV Show,Marvel's Ant-Man (Shorts)
TV Show,Marvel's Avengers Assemble
TV Show,Marvel's Avengers: Secret Wars (Shorts)
TV Show,Marvel's Guardians of the Galaxy (Series)
TV Show,Marvel's Guardians of the Galaxy (Shorts)
TV Show,Marvel's Hero Project
TV Show,Marvel's Inhumans
TV Show,Marvel's Rocket & Groot (Shorts)
TV Show,Marvel's Ultimate Comics
Movie,Mary Poppins
Movie,Mater and the Ghostlight
Movie,Meet the Deedles
Movie,Meet the Robinsons
Movie,Melody Time
Movie,Mickey Down Under
TV Show,Mickey Mouse (Shorts)
TV Show,Mickey Mouse Club (1955-59)
Movie,"Mickey, Donald, Goofy: The Three Musketeers"
Movie,Mickey's Birthday Party
Movie,Mickey's Christmas Carol
Movie,Mickey's Delayed Date
Movie,Mickey's Once Upon a Christmas
Movie,Mickey's Rival
Movie,Mickey's Trailer
Movie,Mickey's Twice Upon a Christmas
Movie,Mighty Joe Young
Movie,Mike's New Car
Movie,Minutemen
Movie,Miracle
Movie,Miracle at Midnight
Movie,Miracle in Lane 2
Movie,Miracle Landing on the Hudson
Movie,Mission to the Sun
Movie,Moana
Movie,Mom's Got a Date With a Vampire
Movie,Monsters University
Movie,"Monsters, Inc."
Movie,Motocrossed
Movie,Mr. Boogedy
Movie,Mr. Duck Steps Out
Movie,Mr. Mouse Takes a Trip
Movie,Mulan II
TV Show,Muppet Moments (Shorts)
Movie,Muppet Treasure Island
Movie,Muppets Most Wanted
Movie,My Favorite Martian
TV Show,My Friends Tigger & Pooh
Movie,National Treasure: Book of Secrets
Movie,Newsies
Movie,Newsies: The Broadway Musical
Movie,Noelle
Movie,Now You See It
Movie,Olaf's Frozen Adventure
Movie,Old Yeller
Movie,Oliver & Company
Movie,Once Upon a Mattress
Movie,One Magic Christmas
Movie,One Man Band
Movie,Operation Dumbo Drop
TV Show,Origins: The Journey of Humankind
TV Show,Out of the Box
Movie,Paris To Pittsburgh
Movie,Partly Cloudy
Movie,Party Central
Movie,Perri
Movie,Pete's Dragon
Movie,Peter Pan
Movie,Peter Pan: Return to Never Land
Movie,Phantom of the Megaplex
TV Show,Phil of the Future
TV Show,Phineas and Ferb
Movie,Phineas and Ferb the Movie: Across the 2nd Dimension
Movie,Phineas and Ferb: Mission Marvel
Movie,Piglet's Big Movie
Movie,Pinocchio
Movie,Piper
Movie,Pirates of the Caribbean: At World's End
Movie,Pirates of the Caribbean: Dead Man's Chest
Movie,Pirates of the Caribbean: The Curse of the Black Pearl
TV Show,Pixar In Real Life
Movie,Pixel Perfect
Movie,Planet of the Birds
Movie,Pluto and the Gopher
Movie,Pluto's Christmas Tree
Movie,Pluto's Surprise Package
Movie,Pluto's Sweater
Movie,Pocahontas
Movie,Pocahontas II: Journey to a New World
Movie,Pollyanna
Movie,Pooh's Grand Adventure: The Search for Christopher Robin
Movie,Pooh's Heffalump Movie
Movie,Presto
Movie,Princess Protection Program
Movie,Purl
TV Show,Quack Pack
Movie,Queen of Katwe
Movie,Quints
Movie,Ratatouille
Movie,Read It and Weep
Movie,Ready to Run
Movie,Recess: All Growed Down
Movie,Recess: School's Out
Movie,Recess: Taking the 5th Grade
Movie,Red's Dream
Movie,Remember the Titans
Movie,Rescue Dog
Movie,Return from Witch Mountain
Movie,Return to Halloweentown
Movie,Return to Oz
Movie,Richie Rich's Christmas Wish
Movie,Right on Track
Movie,Riley’s First Date?
Movie,Rip Girls
Movie,Robin Hood
TV Show,Rocky Mountain Animal Rescue
Movie,Rogue One: A Star Wars Story
Movie,Roving Mars
Movie,Ruby Bridges
Movie,Sacred Planet
Movie,Saludos Amigos
Movie,"Sammy, The Way-Out Seal"
Movie,Sanjay's Super Team
Movie,Santa Paws 2: The Santa Pups
Movie,Santa's Workshop
Movie,Saving Mr. Banks
Movie,Science Fair
Movie,Sea of Hope: America's Underwater Treasures
Movie,Secret of The Wings
Movie,Secretariat
Movie,Secrets of Christ's Tomb: Explorer Special
Movie,Secrets of Life
Movie,Secrets of the King Cobra
TV Show,Shake It Up
Movie,Sharks of Lost Island
Movie,Sharpay's Fabulous Adventure
Movie,Shipwrecked
TV Show,Silver Surfer
Movie,Simpsons Movie
Movie,Sister Act
Movie,Sister Act 2: Back in the Habit
Movie,Skyrunners
Movie,Sleeping Beauty
Movie,Smart House
Movie,Smash and Grab
Movie,Snow White and The Seven Dwarfs
Movie,Snowball Express
Movie,Snowglobe
TV Show,So Weird
Movie,Society Dog Show
TV Show,Spider-Man (Shorts)
TV Show,Spider-Man and His Amazing Friends
TV Show,Spider-Man Unlimited
TV Show,Spider-Woman
TV Show,Star Wars Forces of Destiny (Shorts)
TV Show,Star Wars Rebels
TV Show,Star Wars Rebels (Shorts)
Movie,Star Wars: A New Hope (Episode IV)
Movie,Star Wars: Attack of the Clones (Episode II)
TV Show,Star Wars: Blips
Movie,Star Wars: Return of the Jedi (Episode VI)
Movie,Star Wars: Revenge of the Sith (Episode III)
Movie,Star Wars: The Empire Strikes Back (Episode V)
Movie,Star Wars: The Force Awakens (Episode VII)
Movie,Star Wars: The Phantom Menace (Episode I)
Movie,Starstruck
Movie,Steamboat Willie
Movie,Stepsister from Planet Weird
Movie,Stitch! The Movie
Movie,Stonehenge Decoded: Secrets Revealed
Movie,Stuck in the Suburbs
Movie,Sultan and the Rock Star
Movie,Super Buddies
Movie,Swiss Family Robinson
TV Show,TaleSpin
Movie,Tall Tale
Movie,Tangled
Movie,Tangled Before Ever After
Movie,Tarzan & Jane
Movie,Teacher's Pet
Movie,Teen Beach 2
Movie,Teen Beach Movie
Movie,Teen Spirit
Movie,That Darn Cat
Movie,That Darn Cat!
Movie,The Absent-Minded Professor
Movie,The Adventures of André & Wally B.
Movie,The Adventures of Bullwhip Griffin
Movie,The Adventures of Huck Finn
Movie,The Adventures of Ichabod and Mr. Toad
TV Show,The Adventures of Spin and Marty
Movie,The African Lion
Movie,The Apple Dumpling Gang
Movie,The Apple Dumpling Gang Rides Again
Movie,The Aristocats
Movie,The Art of Skiing
TV Show,The Avengers: Earth's Mightiest Heroes
TV Show,The Avengers: United They Stand
Movie,The Band Concert
Movie,The Bears and I
Movie,The Big Bad Wolf
Movie,The Biscuit Eater
Movie,The Black Cauldron
Movie,The Black Hole
Movie,The Blue Umbrella
TV Show,The Book of Once Upon a Time
TV Show,The Book of Pooh
Movie,The Brave Little Toaster Goes to Mars
Movie,The Castaway Cowboy
Movie,The Cheetah Girls
Movie,The Cheetah Girls 2
Movie,The Cheetah Girls: One World
Movie,The Christmas Star
Movie,The Chronicles of Narnia: Prince Caspian
Movie,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Movie,The Color of Friendship
Movie,The Computer Wore Tennis Shoes
Movie,The Country Bears
Movie,The Emperor's New Groove
Movie,The Even Stevens Movie
Movie,The Flood
Movie,The Fox and the Hound
Movie,The Fox and the Hound 2
Movie,The Game Plan
Movie,The Ghosts of Buxley Hall
Movie,The Goddess of Spring
Movie,The Golden Touch
Movie,The Good Dinosaur
Movie,The Great Muppet Caper
Movie,The Greatest Game Ever Played
Movie,The Haunted Mansion
Movie,The Hockey Champ
Movie,The Hunchback of Notre Dame
Movie,The Hunchback of Notre Dame II
TV Show,The Imagineering Story
Movie,The Incredible Journey
Movie,The Incredibles
Movie,The Journey of Natty Gann
Movie,The Jungle Book 2
Movie,The Jungle Book: Mowgli's Story
Movie,The Legend of Mor'du
Movie,The Lion King 1 1/2
Movie,The Lion King 2: Simba's Pride
Movie,The Little Mermaid
Movie,The Little Mermaid II:  Return to the Sea
Movie,The Little Mermaid:  Ariel's Beginning
Movie,The Little Whirlwind
Movie,The Living Desert
Movie,The Lizzie McGuire Movie
Movie,The Lost Tomb of Alexander the Great
Movie,The Love Bug (1969)
Movie,The Many Adventures of Winnie the Pooh
Movie,The Million Dollar Duck
Movie,The Mistle-Tones
Movie,The Muppet Christmas Carol
Movie,The Muppet Movie
Movie,The Muppets
TV Show,The Muppets (Series)
TV Show,The New Adventures of Winnie the Pooh
Movie,The Old Mill
Movie,The Olympic Champ
Movie,The Parent Trap
Movie,The Parent Trap (1961)
Movie,The Pied Piper
Movie,The Plausible Impossible (Disneyland: 1954-58)
Movie,The Poof Point
Movie,The Prince and the Pauper
Movie,The Princess and the Frog
Movie,The Princess Diaries
Movie,The Princess Diaries 2: Royal Engagement
Movie,The Proud Family Movie
Movie,The Reluctant Dragon
TV Show,The Replacements
Movie,The Rescuers
Movie,The Rescuers Down Under
Movie,The Rookie
Movie,The Santa Clause
Movie,The Santa Clause 2
Movie,The Santa Clause 3: The Escape Clause
Movie,The Scream Team
Movie,The Secret of the Magic Gourd
Movie,The Shaggy D.A.
Movie,The Shaggy Dog
Movie,The Sign of Zorro
Movie,The Simple Things
Movie,The Sound of Music
Movie,The Story of Robin Hood And His Merrie Men
Movie,The Strongest Man in the World
Movie,The Suite Life Movie
TV Show,The Suite Life of Zack & Cody
TV Show,The Suite Life On Deck
Movie,The Swap
Movie,The Thirteenth Year
Movie,The Three Caballeros
Movie,The Three Musketeers
Movie,The Tigger Movie
Movie,The Tortoise and the Hare
Movie,The Ugly Dachshund
Movie,The Ugly Duckling
Movie,The Ultimate Christmas Present
Movie,The Vanishing Prairie
Movie,The Wild
Movie,The Wise Little Hen
Movie,The Wizards Return: Alex vs. Alex
TV Show,The World According to Jeff Goldblum
Movie,The Young Black Stallion
Movie,Three Blind Mouseketeers
Movie,Three Days
Movie,Three Little Pigs
Movie,Three Little Wolves
Movie,Three Men and a Baby
Movie,Three Men and a Little Lady
Movie,Thru the Mirror
Movie,Tiger Cruise
Movie,Tim Burton’s The Nightmare Before Christmas
TV Show,Timon & Pumbaa
Movie,Tin Toy
Movie,Tinker Bell
Movie,Tinker Bell and the Great Fairy Rescue
Movie,Tinker Bell and the Lost Treasure
Movie,Titanic: 20 Years Later With James Cameron
Movie,Toby Tortoise Returns
Movie,Tom and Huck
Movie,Toy Story
Movie,Toy Story 2
Movie,Toy Story 3
Movie,Toy Story Toons: Hawaiian Vacation
Movie,Toy Story Toons: Partysaurus Rex
Movie,Toy Story Toons: Small Fry
Movie,Trail of the Panda
Movie,Trailer Horn
Movie,Treasure Island
Movie,Treasure of Matecumbe
Movie,Treasure Planet
Movie,Tree Climbing Lions
Movie,Tron
Movie,Tru Confessions
Movie,Tuck Everlasting
Movie,Tugboat Mickey
Movie,Twas the Night
Movie,Twitches
Movie,Twitches Too
Movie,Unidentified Flying Oddball
Movie,Up
Movie,"Up, Up and Away"
Movie,Valiant
Movie,Waking Sleeping Beauty
Movie,WALL-E
Movie,Wendy Wu: Homecoming Warrior
Movie,Whispers: An Elephant's Tale
Movie,White Fang
Movie,Who Framed Roger Rabbit
TV Show,Wild Yellowstone
Movie,Winged Seduction: Birds of Paradise
Movie,Winnie the Pooh
Movie,Winnie the Pooh: A Very Merry Pooh Year
Movie,Winnie the Pooh: Springtime with Roo
Movie,Winter Storage
TV Show,Wizards of Waverly Place
Movie,Wizards of Waverly Place: The Movie
TV Show,Wolverine and The X-Men
Movie,World's Greatest Dogs
Movie,Wreck-It Ralph
TV Show,X-Men: Evolution
Movie,Ye Olden Days
Movie,Yellowstone Cubs
Movie,You Lucky Dog
Movie,You Wish!
Movie,Your Friend the Rat
Movie,Z-O-M-B-I-E-S
Movie,Zapped
Movie,Zenon: Girl of the 21st Century
Movie,Zenon: The Zequel
Movie,Zenon: Z3
Movie,Zootopia
Movie,Bedknobs and Broomsticks
Movie,Blackbeard's Ghost
Movie,Brave Little Tailor
Movie,Justin Morgan had a Horse
Movie,Lady and the Tramp II: Scamp's Adventure
TV Show,Smart Guy
Movie,The Cat from Outer Space
Movie,The Great Mouse Detective
Movie,The Sword in the Stone
Movie,Those Calloways
TV Show,Disney Kirby Buckets
TV Show,Disney Mech-X4
TV Show,Imagination Movers
Movie,Tomorrowland
Movie,Aquamarine
Movie,Ice Age: Dawn Of The Dinosaurs
Movie,X-Men Origins: Wolverine
Movie,Night at the Museum: Battle of the Smithsonian
Movie,Eddie the Eagle
Movie,Bend It Like Beckham
Movie,Captain Sparky vs. The Flying Saucers
